"","ka","ks","omega"
"1",0.014235837040656,0,Inf
"2",0,0,NA
"3",0.00789388341447343,0.019568573861723,0.403395948537375
"4",0,0.0203140863954535,0
"5",0,0,NA
"6",0.00591390464745024,0,Inf
"7",0,0.0109568694143749,0
"8",0,0.00852574613919188,0
"9",0,0,NA
"10",0.0147985502405427,0.0101782218777543,1.45394258626712
"11",0.003020000685653,0.00304409867003643,0.992083704572186
"12",0.0143558246187643,0.0767140951428578,0.187134119121535
"13",0,0,NA
"14",0,0.0128319100370716,0
"15",0.00483791521665517,-1.52106136989455e-05,-318.061802923216
"16",0,0,NA
"17",0,0,NA
"18",0.00404860511630965,0,Inf
"19",0.00721493934961248,0,Inf
"20",0,0,NA
"21",0.00484797601329475,-1.07661274205627e-05,-450.298963026888
"22",0,0.0399649910663262,0
"23",0.003717489243759,0,Inf
"24",0,0.0237588585913213,0
"25",0,0,NA
"26",0.0397164502919483,0.0115909728082227,3.42649844401094
"27",0,0,NA
"28",0.00415588326276559,-1.27071846028219e-05,-327.049884979453
"29",0,0,NA
"30",0,0.0090352306355214,0
"31",0,0,NA
"32",0.00243605841200019,0.0326342212825751,0.0746473583943278
"33",0,0,NA
"34",0.00854721667965002,0.0174681113708372,0.489303995045481
"35",0,0.0144308936275785,0
"36",0.00406214514541784,0.0145790269885713,0.278629372769679
"37",0.0151462506820654,0.0183818404961418,0.823979007175283
"38",0.0143829350772091,-3.61630024785235e-05,-397.725135952161
"39",0,0.0171401743080819,0
"40",0.00404860511630965,0,Inf
"41",0.0163949114114954,0.0796941254693606,0.205722960317804
"42",0,0.0281842709307263,0
"43",0,0,NA
"44",0,0.00723251956656712,0
"45",0,0.013651468554633,0
"46",0.00696799090904694,-9.71818436760633e-05,-71.7005424621639
"47",0.00787417848406956,0,Inf
"48",0,0,NA
"49",0,0.0125277707821371,0
"50",0,0.0192175228093602,0
"51",0.0125998701889377,0,Inf
"52",0,0.0307809714716787,0
"53",0,0.0227915647358168,0
